RegionID,SizeRank,City/State,Lat,Long,Monthly Average,Radius,YOY
395247,225,"Yuma, AZ",32.6927,-114.6277,1132,10.0,5.30%
394623,226,"Gainesville, GA",34.2979,-83.8241,1574,12.5,-3.00%
394716,227,"Jacksonville, NC",34.7541,-77.4302,1077,10.0,5.60%
394597,228,"Florence, SC",34.1954,-79.7626,1365,10.0,-0.60%
394680,229,"Hilo, HI",19.707,-155.0885,2050,10.0,-4.96%
395118,230,"St. Cloud, MN",45.5579,-94.1632,1278,12.5,1.30%
395011,231,"Racine, WI",42.7261,-87.7829,1189,10.0,5.20%
394380,232,"Bend, OR",44.0582,-121.3153,1902,10.0,3.50%
395047,233,"Saginaw, MI",43.4195,-83.9508,977,10.0,4.20%
395202,234,"Warner Robins, GA",32.613,-83.6242,1532,10.0,0.10%
395151,235,"Terre Haute, IN",39.4667,-87.4139,903,12.5,3.10%
395162,236,"Torrington, CT",41.8006,-73.1212,1551,10.0,8.50%
395009,237,"Punta Gorda, FL",26.9298,-82.0454,1611,10.0,-1.60%
394386,239,"Billings, MT",45.7833,-108.5007,1248,12.5,4.30%
395018,240,"Redding, CA",40.5865,-122.3917,1273,12.5,4.60%
394748,241,"Kingston, NY",41.927,-73.9974,1838,10.0,5.50%
394960,242,"Panama City, FL",30.1588,-85.6602,1630,12.5,-0.20%
394729,243,"Joplin, MO",37.0842,-94.5133,1036,10.0,4.50%
394539,244,"Dover, DE",39.1582,-75.5244,1561,10.0,3.50%
394559,245,"El Centro, CA",32.792,-115.5631,1200,7.5,0
394712,246,"Jackson, TN",35.6145,-88.8139,989,12.5,2.30%
395246,247,"Yuba City, CA",39.1404,-121.6169,1464,10.0,3.90%
394406,248,"Bowling Green, KY",36.9685,-86.4808,1200,12.5,0.80%
395119,249,"St. George, UT",37.0965,-113.5684,1565,12.5,3.90%
394896,250,"Muskegon, MI",43.2342,-86.2484,995,10.0,9.30%
394299,251,"Abilene, TX",32.4487,-99.7331,1396,10.0,16.80%
394707,252,"Iowa City, IA",41.6611,-91.5302,,12.5,-100.00%
394351,253,"Auburn, AL",32.6099,-85.4808,1465,12.5,6.70%
394860,254,"Midland, TX",31.9973,-102.0779,1579,12.5,2.80%
394671,255,"Hattiesburg, MS",31.3271,-89.2903,1242,10.0,9.30%
753869,255,"Bloomington, IL",40.4842,-88.9937,1033,12.5,4.50%
394944,257,"Oshkosh, WI",44.0247,-88.5426,1112,12.5,6.50%
394555,258,"Eau Claire, WI",44.8113,-91.4985,1037,12.5,3.40%
394651,259,"Greenville, NC",35.6127,-77.3664,1367,12.5,3.80%
394428,260,"Burlington, NC",36.0957,-79.4378,1335,10.0,6.30%
395210,261,"Waterloo, IA",42.4928,-92.3426,890,10.0,3.10%
394480,262,"Coeur d'Alene, ID",47.6777,-116.7805,1663,10.0,2.40%
394553,263,"East Stroudsburg, PA",41.0004,-75.18,1593,10.0,0.70%
395007,264,"Pueblo, CO",38.2544,-104.6091,1218,10.0,2.70%
394392,265,"Blacksburg, VA",37.2296,-80.4139,1122,7.5,-1.30%
395215,266,"Wausau, WI",44.9591,-89.6301,911,10.0,2.50%
394731,267,"Kahului, HI",20.8895,-156.4743,2775,10.0,-0.40%
394720,268,"Janesville, WI",42.6828,-89.0187,977,10.0,8.10%
395170,269,"Tupelo, MS",34.2576,-88.7034,985,10.0,8.00%
394393,270,"Bloomington, IN",39.1653,-86.5264,1223,10.0,4.30%
394930,271,"Odessa, TX",31.8457,-102.3676,1446,12.5,6.30%
394710,272,"Jackson, MI",42.2459,-84.4014,898,10.0,5.20%
395125,273,"State College, PA",40.7934,-77.86,1431,10.0,3.40%
395079,274,"Sebastian, FL",27.8164,-80.4706,1854,10.0,18.40%
394523,276,"Decatur, AL",34.6059,-86.9833,986,7.5,0
394453,277,"Chambersburg, PA",39.9376,-77.6611,1044,7.5,6.70%
395193,278,"Vineland, NJ",39.4864,-75.025,1704,12.5,0.13%
394703,279,"Idaho Falls, ID",43.4917,-112.0339,1044,12.5,0.20%
394639,280,"Grand Junction, CO",39.0639,-108.5506,1465,12.5,3.30%
394563,281,"Elizabethtown, KY",37.7031,-85.8649,953,10.0,2.00%
394917,282,"Niles, MI",41.8295,-86.2542,1357,7.5,1.10%
394873,283,"Monroe, MI",41.9164,-83.3977,1040,10.0,2.40%
395066,284,"Santa Fe, NM",35.687,-105.9378,1865,12.5,-4.60%
394493,285,"Concord, NH",43.2081,-71.5376,2180,12.5,5.50%
394314,286,"Alexandria, LA",31.3112,-92.4426,741,7.5,0
394359,288,"Bangor, ME",44.8012,-68.7778,1430,10.0,5.00%
394685,289,"Homosassa Springs, FL",28.8025,-82.5555,1314,7.5,-1.78%
394662,290,"Hanford, CA",36.3275,-119.6457,1329,10.0,3.30%
394723,291,"Jefferson City, MO",38.5767,-92.1735,835,10.0,9.40%
394598,292,"Florence, AL",34.7998,-87.6773,895,10.0,2.10%
394306,295,"Albany, GA",31.5785,-84.1557,872,10.0,8.40%
845167,296,"Ottawa, IL",41.3456,-88.8426,1079,7.5,4.00%
395102,297,"Sioux City, IA",42.4993,-96.4003,1157,12.5,7.10%
395223,298,"Wichita Falls, TX",33.9137,-98.4934,819,10.0,1.10%
395182,300,"Valdosta, GA",30.8327,-83.2785,1395,10.0,8.30%
394800,301,"Logan, UT",41.7355,-111.8344,1146,10.0,2.80%
394595,302,"Flagstaff, AZ",35.1983,-111.6513,2127,10.0,2.80%
395000,304,"Pottsville, PA",40.6856,-76.195,1067,7.5,18.10%
394515,305,"Dalton, GA",34.7698,-84.9702,966,7.5,0
394783,306,"Lebanon, PA",40.3409,-76.4113,1166,10.0,15.50%
394880,307,"Morristown, TN",36.214,-83.2949,1295,7.5,0
395232,308,"Winchester, VA",39.1857,-78.1633,1622,10.0,4.50%
395221,309,"Wheeling, WV",40.063,-80.7214,840,10.0,7.90%
394879,310,"Morgantown, WV",39.6295,-79.9559,1246,10.0,2.30%
394756,311,"La Crosse, WI",43.8014,-91.2396,1081,10.0,2.40%
394900,312,"Napa, CA",38.2975,-122.2869,2624,10.0,1.00%
395013,313,"Rapid City, SD",44.0805,-103.231,1158,12.5,1.40%
395139,314,"Sumter, SC",33.9204,-80.3415,1125,10.0,3.40%
394577,315,"Eureka, CA",40.8021,-124.1637,1278,12.5,4.40%
395117,316,"Springfield, OH",39.9242,-83.8088,1150,7.5,0
394668,317,"Harrisonburg, VA",38.4496,-78.8689,1580,10.0,5.40%
394368,318,"Battle Creek, MI",42.3212,-85.1797,1168,12.5,8.60%
395094,319,"Sherman, TX",33.6357,-96.6089,1359,10.0,3.40%
394821,320,"Manhattan, KS",39.1836,-96.5717,850,7.5,9.70%
394442,321,"Carbondale, IL",37.7273,-89.2168,714,10.0,4.40%
394727,322,"Johnstown, PA",40.3267,-78.922,769,7.5,0
394728,323,"Jonesboro, AR",35.8423,-90.7043,962,10.0,7.30%
394390,324,"Bismarck, ND",46.8083,-100.7837,1351,10.0,6.80%
394661,325,"Hammond, LA",30.5044,-90.4612,1197,10.0,5.90%
394983,326,"Pittsfield, MA",42.4501,-73.2454,1509,10.0,4.00%
394890,327,"Mount Vernon, WA",48.4212,-122.3341,1952,10.0,-2.50%
394719,328,"Jamestown, NY",42.097,-79.2353,983,7.5,0
395153,329,"The Villages, FL",28.926,-81.985,1669,12.5,1.30%
394307,330,"Albany, OR",44.6365,-123.1059,1520,10.0,4.10%
394633,331,"Glens Falls, NY",43.3095,-73.644,1225,10.0,-0.37%
394780,332,"Lawton, OK",34.6036,-98.3959,976,10.0,0.90%
394474,334,"Cleveland, TN",35.1595,-84.8766,1421,10.0,0.00%
395098,335,"Sierra Vista, AZ",31.5455,-110.2773,974,10.0,11.10%
394325,336,"Ames, IA",42.0308,-93.6319,898,10.0,5.90%
394824,337,"Mansfield, OH",40.7584,-82.5154,817,10.0,-1.57%
395128,338,"Staunton, VA",38.1496,-79.0717,1234,10.0,5.15%
394353,339,"Augusta, ME",44.3106,-69.7795,1384,10.0,6.50%
394321,340,"Altoona, PA",40.5187,-78.3947,833,10.0,-2.78%
394905,341,"New Bern, NC",35.1085,-77.0441,1399,10.0,4.40%
394588,342,"Farmington, NM",36.7281,-108.2187,1016,10.0,-4.68%
395120,343,"St. Joseph, MO",39.7675,-94.8467,780,10.0,-3.01%
395218,345,"Wenatchee, WA",47.4235,-120.3103,1758,10.0,0.30%
394778,349,"Lawrence, KS",38.9717,-95.2353,1013,10.0,6.50%
394635,350,"Goldsboro, NC",35.3849,-77.9928,1191,10.0,15.28%
395213,351,"Watertown, NY",43.9748,-75.9108,1294,10.0,2.30%
395089,352,"Sheboygan, WI",43.7508,-87.7145,997,10.0,1.30%
395217,353,"Weirton, WV",40.4184,-80.589,767,7.5,1.90%
394867,354,"Missoula, MT",46.8721,-113.994,1375,10.0,3.10%
395237,355,"Wooster, OH",40.8051,-81.9351,1410,7.5,0.40%
394407,356,"Bozeman, MT",45.677,-111.0429,2063,12.5,-1.30%
394333,357,"Anniston, AL",33.6598,-85.8316,803,10.0,0.80%
395225,359,"Williamsport, PA",41.2412,-77.0011,1008,10.0,6.80%
394423,360,"Brunswick, GA",31.1498,-81.4915,1428,10.0,1.30%
395173,361,"Twin Falls, ID",42.561,-114.4609,1250,10.0,2.40%
753872,361,"California, MD",38.3002,-76.5077,1811,10.0,4.70%
394495,363,"Cookeville, TN",36.1628,-85.5016,1043,10.0,4.80%
394893,364,"Muncie, IN",40.1934,-85.3864,782,7.5,10.00%
394857,365,"Michigan City, IN",41.7075,-86.8951,983,7.5,0
395039,366,"Roseburg, OR",43.2165,-123.3417,1175,7.5,-1.80%
394788,367,"Lewiston, ME",44.1004,-70.2148,1539,10.0,6.40%
394804,368,"Longview, WA",46.1382,-122.9382,1235,10.0,8.20%
394932,369,"Ogdensburg, NY",44.6934,-75.486,1108,7.5,4.38%
394734,370,"Kankakee, IL",41.12,-87.8612,1135,7.5,3.50%
395023,373,"Richmond, KY",37.7479,-84.2947,895,10.0,0.70%
395168,374,"Tullahoma, TN",35.362,-86.2094,995,7.5,0
395222,375,"Whitewater, WI",42.8339,-88.7326,1266,7.5,0.80%
394709,376,"Ithaca, NY",42.4439,-76.5019,1860,10.0,1.80%
394637,377,"Grand Forks, ND",47.9253,-97.0329,1022,10.0,7.80%
394762,379,"LaGrange, GA",33.0393,-85.0314,1340,10.0,3.68%
394369,380,"Bay City, MI",43.5945,-83.8889,1273,7.5,-0.76%
394599,381,"Fond du Lac, WI",43.775,-88.4388,1013,10.0,4.10%
394630,382,"Gettysburg, PA",39.8309,-77.2311,1125,7.5,0
394733,384,"Kalispell, MT",48.191,-114.316,1763,10.0,-1.40%
394823,386,"Mankato, MN",44.1636,-93.9994,1137,10.0,8.00%
395166,389,"Truckee, CA",39.3279,-120.1833,2220,7.5,18.40%
